2026-02-26 11:37:47 | INFO | process_pdfs:75 | Iniciando busca de PDFs...
2026-02-26 11:37:47 | INFO | process_pdfs:77 | Procurando PDFs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 11:37:47 | INFO | process_pdfs:85 | 1 PDF(s) encontrado(s).
2026-02-26 11:38:32 | INFO | process_pdfs:75 | Iniciando busca de PDFs...
2026-02-26 11:38:32 | INFO | process_pdfs:77 | Procurando PDFs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 11:38:32 | INFO | process_pdfs:85 | 1 PDF(s) encontrado(s).
2026-02-26 12:04:38 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 12:04:38 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:04:38 | INFO | process:85 | 1 FILE(s) encontrado(s).
2026-02-26 12:24:06 | INFO | process:78 | Iniciando busca de FILEs...
2026-02-26 12:24:06 | INFO | process:80 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:24:06 | INFO | process:88 | 1 FILE(s) encontrado(s).
2026-02-26 12:24:13 | INFO | process:78 | Iniciando busca de FILEs...
2026-02-26 12:24:13 | INFO | process:80 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:24:13 | INFO | process:88 | 1 FILE(s) encontrado(s).
2026-02-26 12:27:27 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 12:27:27 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:27:27 | INFO | process:85 | 1 FILE(s) encontrado(s).
2026-02-26 12:28:37 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 12:28:37 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:28:37 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-26 12:28:57 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 12:28:57 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:28:57 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-26 12:29:40 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 12:29:40 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:29:40 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-26 12:37:32 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 12:37:32 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 12:37:32 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-26 14:41:56 | INFO | process:75 | Iniciando busca de FILEs...
2026-02-26 14:41:56 | INFO | process:77 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 14:41:56 | INFO | process:85 | 1 FILE(s) encontrado(s).
2026-02-26 16:01:43 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-26 16:01:43 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 16:01:43 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-26 16:02:44 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-26 16:02:44 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-26 16:02:44 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-26 16:26:41 | INFO | process:76 | Iniciando busca de FILEs...
